JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53008850,S1888060522,Bus Rapid Transit,Rapid Transit,1 Avenue S-RapidRide F-Bus Rapid Transit-existing,2926,10576,10585,18810,10576,17228,18881,-122.33392,47.46327,at grade,existing,2014,1 Avenue S,RapidRide F
G53022640,S3005280853,Bus Rapid Transit,Rapid Transit,100th Street-Swift Blue Line-Bus Rapid Transit-existing,1918,17135,18304,23934,17135,19887,27312,-122.24164,47.90734,at grade,existing,2009,100th Street,Swift Blue Line
G53057745,S3173838794,Arterial Rapid Transit,Rapid Transit,103 Avenue-RapidRide I-Arterial Rapid Transit-planned,2133,2653,3384,3969,2653,3341,5304,-122.20367,47.44288,at grade,planned,,103 Avenue,RapidRide I
G53057745,S3173828929,Arterial Rapid Transit,Rapid Transit,108 Avenue-RapidRide I-Arterial Rapid Transit-planned,4042,4509,5378,5171,4509,5053,6519,-122.19762,47.44528,at grade,planned,,108 Avenue,RapidRide I
G53007380,S2200107864,Bus Rapid Transit,Rapid Transit,110 Avenue-Stride S3-Bus Rapid Transit-planned,995,4155,6032,7511,4155,4155,9388,-122.19301,47.76428,at grade,planned,,110 Avenue,Stride S3
G53022640,S53285715,Bus Rapid Transit,Rapid Transit,112th Street-Swift Green Line-Bus Rapid Transit-existing,668,15626,16157,21131,15626,19700,24293,-122.26313,47.89653,at grade,existing,2019,112th Street,Swift Green Line
G53005210,S3956247009,Bus Rapid Transit,Rapid Transit,116/118-RapidRide B-Bus Rapid Transit-existing,0,154,154,154,154,458,458,-122.18463,47.61731,at grade,existing,2011,116/118,RapidRide B
G53005210,S3565554707,Bus Rapid Transit,Rapid Transit,120-RapidRide B-Bus Rapid Transit-existing,1263,2296,2296,3964,2296,2701,4341,-122.18031,47.61729,at grade,existing,2011,120,RapidRide B
G53005210,S3565559063,Bus Rapid Transit,Rapid Transit,124-RapidRide B-Bus Rapid Transit-existing,3094,9440,10903,12880,9440,11419,16302,-122.17496,47.61733,at grade,existing,2011,124,RapidRide B
G53063000,S910411990,Bus Rapid Transit,Rapid Transit,12th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,15633,33161,33161,54299,33161,35455,54750,-122.31677,47.61284,at grade,proposed,,12th Avenue,Madison RapidRide G
G53063000,S2290114498,Streetcar,Streetcar,12th/Jackson-Little Saigon-First Hill Line-Streetcar-existing,648,4660,4660,9231,4660,4719,9242,-122.31587,47.5992,at grade,existing,2016,12th/Jackson-Little Saigon,First Hill Line
G53063000,S49014179,Light Rail,Light Rail,130th Street-Red Line (Lynnwood Link)-Light Rail-uc,1626,1969,4091,1969,1969,2094,4216,-122.32392,47.72313,highway,uc,,130th Street,Red Line (Lynnwood Link)
G53005210,S3163764650,Bus Rapid Transit,Rapid Transit,131/134-RapidRide B-Bus Rapid Transit-existing,733,733,2560,733,733,790,2617,-122.16364,47.61722,at grade,existing,2011,131/134,RapidRide B
G53045865,S53290005,Bus Rapid Transit,Rapid Transit,136th Street-Swift Green Line-Bus Rapid Transit-existing,1678,2058,2773,2238,2058,3099,3814,-122.21486,47.87431,at grade,existing,2019,136th Street,Swift Green Line
G53005210,S3565554773,Bus Rapid Transit,Rapid Transit,140-RapidRide B-Bus Rapid Transit-existing,4554,4882,5977,4930,4882,6353,7448,-122.15358,47.61716,at grade,existing,2011,140,RapidRide B
G53005210,S3565555926,Bus Rapid Transit,Rapid Transit,143-RapidRide B-Bus Rapid Transit-existing,1390,1402,3249,1402,1402,2804,4651,-122.14958,47.61712,at grade,existing,2011,143,RapidRide B
G53005210,S3565563485,Bus Rapid Transit,Rapid Transit,148-RapidRide B-Bus Rapid Transit-existing,2875,2881,5702,2901,2881,3919,6740,-122.14308,47.61704,at grade,existing,2011,148,RapidRide B
G53063000,S1845052633,Streetcar,Streetcar,14th/Washington-Central District-First Hill Line-Streetcar-existing,6557,18683,19124,28567,18683,21528,30743,-122.31417,47.60067,at grade,existing,2016,14th/Washington-Central District,First Hill Line
G53063000,S1368175404,Bus Rapid Transit,Rapid Transit,15 Avenue-Stride S3-Bus Rapid Transit-planned,2187,5226,7017,8806,5226,5632,10920,-122.31281,47.73392,at grade,planned,,15 Avenue,Stride S3
G53003180,S156305329,Arterial Rapid Transit,Rapid Transit,15 Street-RapidRide I-Arterial Rapid Transit-planned,896,2910,4217,4847,3307,3220,6791,-122.22148,47.32089,at grade,planned,,15 Street,RapidRide I
