id,country,ccode,institution,recommendation,year,womensrightsissue,nomention,inaction,consideration,delegation,execution,compliance,vaw,econ,action,precision,documentname,session,recstate,case,finaljudgmentdate,recSource
CEDAW0000,Albania,339,CEDAW,"consider reversing the burden of proof in cases of alleged discrimination on the grounds of sex and gender, especially in cases of sexual harassment, in its anti-discrimination legislation, and the Labour Code",2010,discrimination against women,999,999,999,999,999,1,true,false,5,1,CEDAW/C/ALB/CO/3,,,,,
CEDAW0001,Albania,339,CEDAW,"formulate new national strategy and action plan on gender equality and domestic violence; to ensure its effective implementation, including through the monitoring and regular evaluation of strategies and measures used in its implementation; and to establish effective coordination between central and local government on policies designed to achieve the objectives of the action plan.",2010,gender equality and violance against women,0,0,0,0,0,1,true,false,8,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0002,Albania,339,CEDAW,"stengthen use of temporary special measures including the allocation of additional reasources in order to accelerate the achivement of de facto or substantive gender equality in areas covered by the Convention, such as participation in political and public decision-making, including diplomatic service, in the judiciary, the executive branch, and and in education and employment sectors",2010,gender equality in public sphere,0,0,0,0,0,1,false,true,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0003,Albania,339,CEDAW,take appropriate legislative measures and condemn killings of women committed in the name of honour in the same way as with regard to homicides or murders,2010,violence against women,1,0,0,0,0,0,true,false,5,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0004,Albania,339,CEDAW,condemn and vigorously prosecute killings of women committed in the name of honour in the same way as with regard to homicides or murders,2010,violence against women,1,0,0,0,0,0,true,false,3,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0005,Albania,339,CEDAW,put emphasis on comperehensive measures to address violence against women in family and in society,2010,violence against women,999,999,999,999,999,1,true,false,8,1,CEDAW/C/ALB/CO/3,,,,,
CEDAW0006,Albania,339,CEDAW,amend the Penal Code so as to establish marital rape as a specific criminal offence,2010,violence against women,0,0,0,0,0,1,true,false,5,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0007,Albania,339,CEDAW,Appropriately sanction and criminalize acts of domestic violence,2010,violence against women,0,0,0,0,0,1,true,false,3,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0008,Albania,339,CEDAW,ensure that all cases of violence against women are swiftly prosecuted and punished,2010,violence against women,0,0,0,1,1,0,true,false,3,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0009,Albania,339,CEDAW,Strengthen its efforts to ensure that female victims of violence have immediate protection (including expelling the perpetrator from the home and access to free legal aid and psychological counseling),2010,violence against women,0,1,0,333,0,333,true,false,3,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0010,Albania,339,CEDAW,Strengthen its efforts to ensure that female victims of violence have immediate protection (including effective recourse to a shelter),2010,violence against women,0,0,0,1,1,0,true,false,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0011,Albania,339,CEDAW,Adopt measures to prevent suicides by victims of domestic violence,2010,violence against women,0,0,0,0,1,0,true,false,8,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0012,Albania,339,CEDAW,"Ensure public officials, especially law enforcement officials, members of the judiciary, health-care providers and social workers, are fully sensitized to all forms of violence against women",2010,violence against women,0,0,0,1,0,1,true,false,6,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0013,Albania,339,CEDAW,"Systemize data collection on violence against women, including domestic violence",2010,violence against women,0,0,0,1,1,0,true,false,2,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0014,Albania,339,CEDAW,"Establish structures to help female victims of violence to rebuild their lives, including the creation of job opportunities",2010,violence against women,0,0,1,1,1,0,true,false,6,2,CEDAW/C/ALB/CO/3,,,,,
